CNTD(INFO_DM_CASE_ID)-value,CNTD(INFO_DM_CASE_ID)-alias,WEEK(Execution Docket Date)-value,WEEK(Execution Docket Date)-alias,WEEK(Execution Docket Date)-[SMY PRCS JDGMNTS EXECUTIONS  (local copy)].[twk:Calc-Last Date Docket Entry  (copy):ok]-value,WEEK(Execution Docket Date)-[SMY PRCS JDGMNTS EXECUTIONS  (local copy)].[twk:Calc-Last Date Docket Entry  (copy):ok]-alias,CNTD(INFO_DM_CASE_ID (copy))-alias,MONTH(calc-color)-alias
248,248,2023-07-02 00:00:00,7/2/23,2023-07-02 00:00:00,7/2/23,248,07/2023
243,243,2023-06-25 00:00:00,6/25/23,2023-06-25 00:00:00,6/25/23,243,06/2023
191,191,2023-06-18 00:00:00,6/18/23,2023-06-18 00:00:00,6/18/23,191,06/2023
262,262,2023-06-11 00:00:00,6/11/23,2023-06-11 00:00:00,6/11/23,262,06/2023
235,235,2023-06-04 00:00:00,6/4/23,2023-06-04 00:00:00,6/4/23,235,06/2023
221,221,2023-05-28 00:00:00,5/28/23,2023-05-28 00:00:00,5/28/23,139,06/2023
211,211,2023-05-21 00:00:00,5/21/23,2023-05-28 00:00:00,5/28/23,82,05/2023
226,226,2023-05-14 00:00:00,5/14/23,2023-05-21 00:00:00,5/21/23,211,05/2023
186,186,2023-05-07 00:00:00,5/7/23,2023-05-14 00:00:00,5/14/23,226,05/2023
198,198,2023-04-30 00:00:00,4/30/23,2023-05-07 00:00:00,5/7/23,186,05/2023
187,187,2023-04-23 00:00:00,4/23/23,2023-04-30 00:00:00,4/30/23,198,05/2023
152,152,2023-04-16 00:00:00,4/16/23,2023-04-23 00:00:00,4/23/23,187,04/2023
159,159,2023-04-09 00:00:00,4/9/23,2023-04-16 00:00:00,4/16/23,152,04/2023
171,171,2023-04-02 00:00:00,4/2/23,2023-04-09 00:00:00,4/9/23,159,04/2023
161,161,2023-03-26 00:00:00,3/26/23,2023-04-02 00:00:00,4/2/23,171,04/2023
165,165,2023-03-19 00:00:00,3/19/23,2023-03-26 00:00:00,3/26/23,161,03/2023
143,143,2023-03-12 00:00:00,3/12/23,2023-03-19 00:00:00,3/19/23,165,03/2023
197,197,2023-03-05 00:00:00,3/5/23,2023-03-12 00:00:00,3/12/23,143,03/2023
188,188,2023-02-26 00:00:00,2/26/23,2023-03-05 00:00:00,3/5/23,197,03/2023
122,122,2023-02-19 00:00:00,2/19/23,2023-02-26 00:00:00,2/26/23,102,03/2023
161,161,2023-02-12 00:00:00,2/12/23,2023-02-26 00:00:00,2/26/23,86,02/2023
173,173,2023-02-05 00:00:00,2/5/23,2023-02-19 00:00:00,2/19/23,122,02/2023
226,226,2023-01-29 00:00:00,1/29/23,2023-02-12 00:00:00,2/12/23,161,02/2023
