CNTD(INFO_DM_CASE_ID)-value,CNTD(INFO_DM_CASE_ID)-alias,COUNTY-value,COUNTY-alias,COUNTY-[SMY PRCS JDGMNTS EXECUTIONS  (local copy)].[none:Calculation_1686598103769194499:nk]-value,COUNTY-[SMY PRCS JDGMNTS EXECUTIONS  (local copy)].[none:Calculation_1686598103769194499:nk]-alias,CNTD(INFO_DM_CASE_ID (copy))-alias,COUNTY (copy)-alias,MONTH(calc-color)-alias,population,per capita,,pop,,https://www.census.gov/data/tables/time-series/demo/popest/2020s-counties-total.html,,,,
1837,1837,WORCESTER,WOR,WORCESTER,WOR,20,WORCESTER,Jul-23,862927,2.317693154,,"VLOOKUP(J2,$L$7:$R$20,7)",,table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,
1839,1839,SUFFOLK,SUF,SUFFOLK,SUF,63,SUFFOLK,Jul-23,766381,8.220454317,,,,"Annual Estimates of the Resident Population for Counties in Massachusetts: April 1, 2020 to July 1, 2022",,,,
933,933,PLYMOUTH,PLY,PLYMOUTH,PLY,17,PLYMOUTH,Jul-23,533069,3.189080588,,per cap,,Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,
1516,1516,NORFOLK,NOR,NORFOLK,NOR,20,NORFOLK,Jul-23,725531,2.756601717,,G2/J2,,,,2020,2021,2022
22,22,NANTUCKET,NAN,MIDDLESEX,MID,41,MIDDLESEX,Jul-23,1617105,2.535395042,,,,Massachusetts,"7,029,949","6,995,729","6,989,690","6,981,974"
2737,2737,MIDDLESEX,MID,HAMPDEN,HPD,29,HAMPDEN,Jul-23,461041,6.290113027,,Barnstable,.Barnstable,".Barnstable County, Massachusetts","229,004","228,856","232,594","232,457"
142,142,HAMPSHIRE,HPS,FRANKLIN,FRA,1,FRANKLIN,Jul-23,70894,1.410556606,,Berkshire,.Berkshire,".Berkshire County, Massachusetts","129,036","128,774","128,621","127,859"
1429,1429,HAMPDEN,HPD,ESSEX,ESS,34,ESSEX,Jul-23,806765,4.214362299,,Bristol,.Bristol,".Bristol County, Massachusetts","579,210","576,737","579,895","580,068"
100,100,FRANKLIN,FRA,BRISTOL,BRI,19,BRISTOL,Jul-23,580068,3.275478047,,Dukes,.Dukes,".Dukes County, Massachusetts","20,595","20,579","21,109","20,868"
1876,1876,ESSEX,ESS,BERKSHIRE,BER,2,BERKSHIRE,Jul-23,127859,1.564223089,,Essex,.Essex,".Essex County, Massachusetts","809,818","808,491","807,485","806,765"
9,9,DUKES,DUK,%null%,TBD,2,%null%,Jul-23,#N/A,#N/A,,Franklin,.Franklin,".Franklin County, Massachusetts","71,035","70,930","70,943","70,894"
1965,1965,BRISTOL,BRI,WORCESTER,WOR,98,WORCESTER,Jun-23,862927,11.35669645,,Hampden,.Hampden,".Hampden County, Massachusetts","465,834","464,407","462,849","461,041"
391,391,BERKSHIRE,BER,SUFFOLK,SUF,201,SUFFOLK,Jun-23,766381,26.22716377,,Hampshire,.Hampshire,".Hampshire County, Massachusetts","162,305","146,592","163,088","162,588"
289,289,BARNSTABLE,BAR,PLYMOUTH,PLY,53,PLYMOUTH,Jun-23,533069,9.942427716,,Middlesex,.Middlesex,".Middlesex County, Massachusetts","1,632,002","1,628,671","1,617,099","1,617,105"
57,57,%null%,TBD,NORFOLK,NOR,118,NORFOLK,Jun-23,725531,16.26395013,,Nantucket,.Nantucket,".Nantucket County, Massachusetts","14,251","14,237","14,499","14,421"
0,0,0,0,NANTUCKET,NAN,1,NANTUCKET,Jun-23,14421,6.934331877,,Norfolk,.Norfolk,".Norfolk County, Massachusetts","725,999","724,322","724,692","725,531"
0,0,0,0,MIDDLESEX,MID,215,MIDDLESEX,Jun-23,1617105,13.29536425,,Plymouth,.Plymouth,".Plymouth County, Massachusetts","530,820","530,154","532,919","533,069"
0,0,0,0,HAMPSHIRE,HPS,9,HAMPSHIRE,Jun-23,162588,5.535463872,,Suffolk,.Suffolk,".Suffolk County, Massachusetts","797,941","793,271","771,765","766,381"
0,0,0,0,HAMPDEN,HPD,110,HAMPDEN,Jun-23,461041,23.85904941,,Worcester,.Worcester,".Worcester County, Massachusetts","862,099","859,708","862,132","862,927"
