CNTD(Calc-Previous FY Count)-value,CNTD(Calc-Previous FY Count)-alias,CNTD(Year-to-date starting Oct 19)-alias,CNTD(Year-to-date starting Oct 19)-[SMY PRCS JDGMNTS EXECUTIONS  (local copy)].[ctd:Calc-Previous FY Count (copy)_1104507845514657792:qk]-alias,COUNTY (copy)-alias,COUNTY (copy)-[SMY PRCS JDGMNTS EXECUTIONS  (local copy)].[none:COUNTY (copy):nk]-alias,COUNTY-value,COUNTY-alias,COUNTY-[SMY PRCS JDGMNTS EXECUTIONS  (local copy)].[none:Calculation_1686598103769194499:nk]-value,COUNTY-[SMY PRCS JDGMNTS EXECUTIONS  (local copy)].[none:Calculation_1686598103769194499:nk]-alias,WEEK(Week # Starting Oct)-alias,WEEK(Week # Starting Oct)-[SMY PRCS JDGMNTS EXECUTIONS  (local copy)].[wk:Week of Time Period (copy) (copy):ok]-alias,Measure Names-alias,Measure Names-[SMY PRCS JDGMNTS EXECUTIONS  (local copy)].[:Measure Names]-alias,CNTD(Calc-Current Oct FY Count)-alias
257,257,268,268,WORCESTER,WORCESTER,WORCESTER,WOR,WORCESTER,WOR,Week 42,Week 42,Yr. Starting 10/18/21,Yr. Starting 10/18/22,530
329,329,400,400,SUFFOLK,SUFFOLK,SUFFOLK,SUF,SUFFOLK,SUF,Week 42,Week 42,Yr. Starting 10/18/21,Yr. Starting 10/18/22,696
156,156,131,131,PLYMOUTH,PLYMOUTH,PLYMOUTH,PLY,PLYMOUTH,PLY,Week 42,Week 42,Yr. Starting 10/18/21,Yr. Starting 10/18/22,310
268,268,214,214,NORFOLK,NORFOLK,NORFOLK,NOR,NORFOLK,NOR,Week 42,Week 42,Yr. Starting 10/18/21,Yr. Starting 10/18/22,560
1,1,2,2,NANTUCKET,NANTUCKET,NANTUCKET,NAN,NANTUCKET,NAN,Week 42,Week 42,Yr. Starting 10/18/21,Yr. Starting 10/18/22,5
416,416,457,457,MIDDLESEX,MIDDLESEX,MIDDLESEX,MID,MIDDLESEX,MID,Week 42,Week 42,Yr. Starting 10/18/21,Yr. Starting 10/18/22,931
13,13,28,28,HAMPSHIRE,HAMPSHIRE,HAMPSHIRE,HPS,HAMPSHIRE,HPS,Week 42,Week 42,Yr. Starting 10/18/21,Yr. Starting 10/18/22,55
199,199,449,449,HAMPDEN,HAMPDEN,HAMPDEN,HPD,HAMPDEN,HPD,Week 42,Week 42,Yr. Starting 10/18/21,Yr. Starting 10/18/22,554
16,16,12,12,FRANKLIN,FRANKLIN,FRANKLIN,FRA,FRANKLIN,FRA,Week 42,Week 42,Yr. Starting 10/18/21,Yr. Starting 10/18/22,49
260,260,310,310,ESSEX,ESSEX,ESSEX,ESS,ESSEX,ESS,Week 42,Week 42,Yr. Starting 10/18/21,Yr. Starting 10/18/22,637
0,0,1,1,DUKES,DUKES,DUKES,DUK,DUKES,DUK,Week 42,Week 42,Yr. Starting 10/18/21,Yr. Starting 10/18/22,3
323,323,390,390,BRISTOL,BRISTOL,BRISTOL,BRI,BRISTOL,BRI,Week 42,Week 42,Yr. Starting 10/18/21,Yr. Starting 10/18/22,478
59,59,63,63,BERKSHIRE,BERKSHIRE,BERKSHIRE,BER,BERKSHIRE,BER,Week 42,Week 42,Yr. Starting 10/18/21,Yr. Starting 10/18/22,106
35,35,51,51,BARNSTABLE,BARNSTABLE,BARNSTABLE,BAR,BARNSTABLE,BAR,Week 42,Week 42,Yr. Starting 10/18/21,Yr. Starting 10/18/22,60
7,7,21,21,%null%,%null%,%null%,TBD,%null%,TBD,Week 42,Week 42,Yr. Starting 10/18/21,Yr. Starting 10/18/22,23
