CNTD(INFO_DM_CASE_ID)-alias,COUNTY-value,COUNTY-alias,calc-Use new city-value,calc-Use new city-alias
1,%null%,TBD,WORONOCO,WORONOCO
1,%null%,TBD,TISBURY,TISBURY
1,%null%,TBD,SPRING VALLEY,SPRING VALLEY
1,%null%,TBD,SOUTH ATTLEBORO,SOUTH ATTLEBORO
1,%null%,TBD,MOUNT WASHINGTON,MOUNT WASHINGTON
1,%null%,TBD,EASTON,EASTON
2,%null%,TBD,BOURNE,BOURNE
32,%null%,TBD,%null%,TBD
1,BARNSTABLE,BAR,YARMOUTH PORT,YARMOUTH PORT
14,BARNSTABLE,BAR,WEST YARMOUTH,WEST YARMOUTH
1,BARNSTABLE,BAR,WEST CHATHAM,WEST CHATHAM
1,BARNSTABLE,BAR,WEST BARNSTABLE,WEST BARNSTABLE
1,BARNSTABLE,BAR,WELLFLEET,WELLFLEET
2,BARNSTABLE,BAR,TRURO,TRURO
22,BARNSTABLE,BAR,SOUTH YARMOUTH,SOUTH YARMOUTH
5,BARNSTABLE,BAR,SOUTH DENNIS,SOUTH DENNIS
1,BARNSTABLE,BAR,SOUTH CHATHAM,SOUTH CHATHAM
1,BARNSTABLE,BAR,SANDWICH,SANDWICH
1,BARNSTABLE,BAR,SAGAMORE,SAGAMORE
3,BARNSTABLE,BAR,PROVINCETOWN,PROVINCETOWN
7,BARNSTABLE,BAR,POCASSET,POCASSET
1,BARNSTABLE,BAR,OSTERVILLE,OSTERVILLE
3,BARNSTABLE,BAR,NORTH TRURO,NORTH TRURO
1,BARNSTABLE,BAR,NORTH FALMOUTH,NORTH FALMOUTH
5,BARNSTABLE,BAR,MASHPEE,MASHPEE
32,BARNSTABLE,BAR,HYANNIS,HYANNIS
2,BARNSTABLE,BAR,HARWICH,HARWICH
3,BARNSTABLE,BAR,FALMOUTH,FALMOUTH
4,BARNSTABLE,BAR,EASTHAM,EASTHAM
2,BARNSTABLE,BAR,EAST SANDWICH,EAST SANDWICH
8,BARNSTABLE,BAR,EAST FALMOUTH,EAST FALMOUTH
7,BARNSTABLE,BAR,DENNIS PORT,DENNIS PORT
1,BARNSTABLE,BAR,DENNIS,DENNIS
1,BARNSTABLE,BAR,COTUIT,COTUIT
1,BARNSTABLE,BAR,CHATHAM,CHATHAM
4,BARNSTABLE,BAR,BUZZARDS BAY,BUZZARDS BAY
5,BARNSTABLE,BAR,BREWSTER,BREWSTER
2,BERKSHIRE,BER,WILLIAMSTOWN,WILLIAMSTOWN
3,BERKSHIRE,BER,STOCKBRIDGE,STOCKBRIDGE
1,BERKSHIRE,BER,SOUTHFIELD,SOUTHFIELD
159,BERKSHIRE,BER,PITTSFIELD,PITTSFIELD
30,BERKSHIRE,BER,NORTH ADAMS,NORTH ADAMS
1,BERKSHIRE,BER,LENOX,LENOX
6,BERKSHIRE,BER,LEE,LEE
9,BERKSHIRE,BER,GREAT BARRINGTON,GREAT BARRINGTON
2,BERKSHIRE,BER,DALTON,DALTON
3,BERKSHIRE,BER,CHESHIRE,CHESHIRE
16,BERKSHIRE,BER,ADAMS,ADAMS
4,BRISTOL,BRI,WESTPORT,WESTPORT
81,BRISTOL,BRI,TAUNTON,TAUNTON
2,BRISTOL,BRI,SWANSEA,SWANSEA
26,BRISTOL,BRI,SOUTH EASTON,SOUTH EASTON
4,BRISTOL,BRI,SOUTH DARTMOUTH,SOUTH DARTMOUTH
4,BRISTOL,BRI,SOMERSET,SOMERSET
7,BRISTOL,BRI,SEEKONK,SEEKONK
2,BRISTOL,BRI,REHOBOTH,REHOBOTH
12,BRISTOL,BRI,RAYNHAM,RAYNHAM
18,BRISTOL,BRI,NORTON,NORTON
3,BRISTOL,BRI,NORTH EASTON,NORTH EASTON
1,BRISTOL,BRI,NORTH DIGHTON,NORTH DIGHTON
10,BRISTOL,BRI,NORTH DARTMOUTH,NORTH DARTMOUTH
43,BRISTOL,BRI,NORTH ATTLEBORO,NORTH ATTLEBORO
369,BRISTOL,BRI,NEW BEDFORD,NEW BEDFORD
27,BRISTOL,BRI,MANSFIELD,MANSFIELD
427,BRISTOL,BRI,FALL RIVER,FALL RIVER
8,BRISTOL,BRI,FAIRHAVEN,FAIRHAVEN
3,BRISTOL,BRI,EAST TAUNTON,EAST TAUNTON
1,BRISTOL,BRI,BERKLEY,BERKLEY
78,BRISTOL,BRI,ATTLEBORO,ATTLEBORO
3,BRISTOL,BRI,ACUSHNET,ACUSHNET
2,DUKES,DUK,VINEYARD HAVEN,VINEYARD HAVEN
1,DUKES,DUK,OAK BLUFFS,OAK BLUFFS
1,DUKES,DUK,EDGARTOWN,EDGARTOWN
12,ESSEX,ESS,SWAMPSCOTT,SWAMPSCOTT
1,ESSEX,ESS,SOUTH HAMILTON,SOUTH HAMILTON
59,ESSEX,ESS,SAUGUS,SAUGUS
10,ESSEX,ESS,SALISBURY,SALISBURY
71,ESSEX,ESS,SALEM,SALEM
1,ESSEX,ESS,ROWLEY,ROWLEY
1,ESSEX,ESS,ROCKPORT,ROCKPORT
104,ESSEX,ESS,PEABODY,PEABODY
38,ESSEX,ESS,NORTH ANDOVER,NORTH ANDOVER
5,ESSEX,ESS,NEWBURYPORT,NEWBURYPORT
1,ESSEX,ESS,NEWBURY,NEWBURY
1,ESSEX,ESS,NAHANT,NAHANT
2,ESSEX,ESS,MIDDLETON,MIDDLETON
68,ESSEX,ESS,METHUEN,METHUEN
5,ESSEX,ESS,MARBLEHEAD,MARBLEHEAD
1,ESSEX,ESS,MANCHESTER,MANCHESTER
4,ESSEX,ESS,LYNNFIELD,LYNNFIELD
306,ESSEX,ESS,LYNN,LYNN
221,ESSEX,ESS,LAWRENCE,LAWRENCE
2,ESSEX,ESS,IPSWICH,IPSWICH
168,ESSEX,ESS,HAVERHILL,HAVERHILL
6,ESSEX,ESS,GROVELAND,GROVELAND
17,ESSEX,ESS,GLOUCESTER,GLOUCESTER
2,ESSEX,ESS,GEORGETOWN,GEORGETOWN
43,ESSEX,ESS,DANVERS,DANVERS
3,ESSEX,ESS,BRADFORD,BRADFORD
57,ESSEX,ESS,BEVERLY,BEVERLY
46,ESSEX,ESS,ANDOVER,ANDOVER
31,ESSEX,ESS,AMESBURY,AMESBURY
1,FRANKLIN,FRA,WARWICK,WARWICK
17,FRANKLIN,FRA,TURNERS FALLS,TURNERS FALLS
12,FRANKLIN,FRA,SUNDERLAND,SUNDERLAND
1,FRANKLIN,FRA,SOUTH DEERFIELD,SOUTH DEERFIELD
1,FRANKLIN,FRA,SHELBURNE FALLS,SHELBURNE FALLS
10,FRANKLIN,FRA,ORANGE,ORANGE
36,FRANKLIN,FRA,GREENFIELD,GREENFIELD
1,FRANKLIN,FRA,BUCKLAND,BUCKLAND
1,FRANKLIN,FRA,BERNARDSTON,BERNARDSTON
