CNTD(CASE_ID_SEQ (copy 2))-value,CNTD(CASE_ID_SEQ (copy 2))-alias,WEEK(Event Result Date)-value,WEEK(Event Result Date)-alias,WEEK(Event Result Date)-[EVENTS Scheduled].[twk:RSLT_DT:ok]-value,WEEK(Event Result Date)-[EVENTS Scheduled].[twk:RSLT_DT:ok]-alias,Tier Event Result Group (group) 1-alias,CNTD(CASE_ID_SEQ)-alias,CNTD(CASE_ID_SEQ (copy))-alias
77,77,2023-07-02 00:00:00,07/02/2023,2023-07-02 00:00:00,07/02/2023,Not Held: Case Dismissed,10,0.12987012987012986
468,468,2023-06-25 00:00:00,06/25/2023,2023-06-25 00:00:00,06/25/2023,Not Held: Case Dismissed,72,0.15384615384615385
424,424,2023-06-18 00:00:00,06/18/2023,2023-06-18 00:00:00,06/18/2023,Not Held: Case Dismissed,75,0.17688679245283018
502,502,2023-06-11 00:00:00,06/11/2023,2023-06-11 00:00:00,06/11/2023,Not Held: Case Dismissed,73,0.1454183266932271
516,516,2023-06-04 00:00:00,06/04/2023,2023-06-04 00:00:00,06/04/2023,Not Held: Case Dismissed,96,0.18604651162790695
498,498,2023-05-28 00:00:00,05/28/2023,2023-05-28 00:00:00,05/28/2023,Not Held: Case Dismissed,69,0.13855421686746988
700,700,2023-05-21 00:00:00,05/21/2023,2023-05-21 00:00:00,05/21/2023,Not Held: Case Dismissed,119,0.17
635,635,2023-05-14 00:00:00,05/14/2023,2023-05-14 00:00:00,05/14/2023,Not Held: Case Dismissed,110,0.1732283464566929
637,637,2023-05-07 00:00:00,05/07/2023,2023-05-07 00:00:00,05/07/2023,Not Held: Case Dismissed,106,0.1664050235478807
673,673,2023-04-30 00:00:00,04/30/2023,2023-04-30 00:00:00,04/30/2023,Not Held: Case Dismissed,93,0.13818722139673106
593,593,2023-04-23 00:00:00,04/23/2023,2023-04-23 00:00:00,04/23/2023,Not Held: Case Dismissed,93,0.15682967959527824
557,557,2023-04-16 00:00:00,04/16/2023,2023-04-16 00:00:00,04/16/2023,Not Held: Case Dismissed,83,0.1490125673249551
648,648,2023-04-09 00:00:00,04/09/2023,2023-04-09 00:00:00,04/09/2023,Not Held: Case Dismissed,101,0.1558641975308642
665,665,2023-04-02 00:00:00,04/02/2023,2023-04-02 00:00:00,04/02/2023,Not Held: Case Dismissed,98,0.14736842105263157
542,542,2023-03-26 00:00:00,03/26/2023,2023-03-26 00:00:00,03/26/2023,Not Held: Case Dismissed,122,0.22509225092250923
588,588,2023-03-19 00:00:00,03/19/2023,2023-03-19 00:00:00,03/19/2023,Not Held: Case Dismissed,112,0.1904761904761905
562,562,2023-03-12 00:00:00,03/12/2023,2023-03-12 00:00:00,03/12/2023,Not Held: Case Dismissed,103,0.18327402135231316
621,621,2023-03-05 00:00:00,03/05/2023,2023-03-05 00:00:00,03/05/2023,Not Held: Case Dismissed,111,0.178743961352657
527,527,2023-02-26 00:00:00,02/26/2023,2023-02-26 00:00:00,02/26/2023,Not Held: Case Dismissed,102,0.1935483870967742
470,470,2023-02-19 00:00:00,02/19/2023,2023-02-19 00:00:00,02/19/2023,Not Held: Case Dismissed,84,0.17872340425531916
428,428,2023-02-12 00:00:00,02/12/2023,2023-02-12 00:00:00,02/12/2023,Not Held: Case Dismissed,80,0.18691588785046728
577,577,2023-02-05 00:00:00,02/05/2023,2023-02-05 00:00:00,02/05/2023,Not Held: Case Dismissed,95,0.16464471403812825
524,524,2023-01-29 00:00:00,01/29/2023,2023-01-29 00:00:00,01/29/2023,Not Held: Case Dismissed,96,0.183206106870229
625,625,2023-01-22 00:00:00,01/22/2023,2023-01-22 00:00:00,01/22/2023,Not Held: Case Dismissed,116,0.1856
447,447,2023-01-15 00:00:00,01/15/2023,2023-01-15 00:00:00,01/15/2023,Not Held: Case Dismissed,93,0.2080536912751678
513,513,2023-01-08 00:00:00,01/08/2023,2023-01-08 00:00:00,01/08/2023,Not Held: Case Dismissed,89,0.17348927875243664
460,460,2023-01-01 00:00:00,01/01/2023,2023-01-01 00:00:00,01/01/2023,Not Held: Case Dismissed,81,0.17608695652173914
0,0,0,0,2023-07-02 00:00:00,07/02/2023,Held: Case Resolved,9,0.11688311688311688
0,0,0,0,2023-06-25 00:00:00,06/25/2023,Held: Case Resolved,37,0.07905982905982906
0,0,0,0,2023-06-18 00:00:00,06/18/2023,Held: Case Resolved,40,0.09433962264150944
0,0,0,0,2023-06-11 00:00:00,06/11/2023,Held: Case Resolved,45,0.08964143426294821
0,0,0,0,2023-06-04 00:00:00,06/04/2023,Held: Case Resolved,78,0.1511627906976744
0,0,0,0,2023-05-28 00:00:00,05/28/2023,Held: Case Resolved,59,0.11847389558232932
0,0,0,0,2023-05-21 00:00:00,05/21/2023,Held: Case Resolved,83,0.11857142857142858
0,0,0,0,2023-05-14 00:00:00,05/14/2023,Held: Case Resolved,98,0.15433070866141732
0,0,0,0,2023-05-07 00:00:00,05/07/2023,Held: Case Resolved,66,0.10361067503924647
0,0,0,0,2023-04-30 00:00:00,04/30/2023,Held: Case Resolved,91,0.1352154531946508
0,0,0,0,2023-04-23 00:00:00,04/23/2023,Held: Case Resolved,88,0.14839797639123103
0,0,0,0,2023-04-16 00:00:00,04/16/2023,Held: Case Resolved,71,0.12746858168761221
0,0,0,0,2023-04-09 00:00:00,04/09/2023,Held: Case Resolved,100,0.15432098765432098
0,0,0,0,2023-04-02 00:00:00,04/02/2023,Held: Case Resolved,96,0.1443609022556391
0,0,0,0,2023-03-26 00:00:00,03/26/2023,Held: Case Resolved,56,0.1033210332103321
0,0,0,0,2023-03-19 00:00:00,03/19/2023,Held: Case Resolved,85,0.1445578231292517
0,0,0,0,2023-03-12 00:00:00,03/12/2023,Held: Case Resolved,76,0.13523131672597866
0,0,0,0,2023-03-05 00:00:00,03/05/2023,Held: Case Resolved,86,0.13848631239935588
0,0,0,0,2023-02-26 00:00:00,02/26/2023,Held: Case Resolved,68,0.12903225806451613
0,0,0,0,2023-02-19 00:00:00,02/19/2023,Held: Case Resolved,58,0.12340425531914893
0,0,0,0,2023-02-12 00:00:00,02/12/2023,Held: Case Resolved,57,0.13317757009345793
0,0,0,0,2023-02-05 00:00:00,02/05/2023,Held: Case Resolved,73,0.1265164644714038
0,0,0,0,2023-01-29 00:00:00,01/29/2023,Held: Case Resolved,83,0.15839694656488548
0,0,0,0,2023-01-22 00:00:00,01/22/2023,Held: Case Resolved,92,0.1472
0,0,0,0,2023-01-15 00:00:00,01/15/2023,Held: Case Resolved,61,0.13646532438478748
0,0,0,0,2023-01-08 00:00:00,01/08/2023,Held: Case Resolved,71,0.13840155945419103
0,0,0,0,2023-01-01 00:00:00,01/01/2023,Held: Case Resolved,69,0.15
0,0,0,0,2023-07-02 00:00:00,07/02/2023,Held,48,0.6233766233766234
0,0,0,0,2023-06-25 00:00:00,06/25/2023,Held,341,0.7286324786324786
0,0,0,0,2023-06-18 00:00:00,06/18/2023,Held,294,0.6933962264150944
0,0,0,0,2023-06-11 00:00:00,06/11/2023,Held,345,0.6872509960159362
0,0,0,0,2023-06-04 00:00:00,06/04/2023,Held,311,0.6027131782945736
0,0,0,0,2023-05-28 00:00:00,05/28/2023,Held,349,0.7008032128514057
0,0,0,0,2023-05-21 00:00:00,05/21/2023,Held,474,0.6771428571428572
0,0,0,0,2023-05-14 00:00:00,05/14/2023,Held,408,0.6425196850393701
0,0,0,0,2023-05-07 00:00:00,05/07/2023,Held,438,0.6875981161695447
0,0,0,0,2023-04-30 00:00:00,04/30/2023,Held,480,0.7132243684992571
0,0,0,0,2023-04-23 00:00:00,04/23/2023,Held,399,0.6728499156829679
