CNTD(calc-View parameter)-value,CNTD(calc-View parameter)-alias,COUNTY-value,COUNTY-alias,COUNTY-[HC CASES FILED AND ATTY (1) (copy)].[none:Calculation_1686598103769194499:nk]-value,COUNTY-[HC CASES FILED AND ATTY (1) (copy)].[none:Calculation_1686598103769194499:nk]-alias,CNTD(calc-View parameter (copy))-alias,for-Color-alias
3839,3839,WORCESTER,WOR,WORCESTER,WOR,440,2022 Q1
5224,5224,SUFFOLK,SUF,SUFFOLK,SUF,431,2022 Q1
1935,1935,PLYMOUTH,PLY,PLYMOUTH,PLY,248,2022 Q1
3267,3267,NORFOLK,NOR,NORFOLK,NOR,381,2022 Q1
21,21,NANTUCKET,NAN,NANTUCKET,NAN,1,2022 Q1
6421,6421,MIDDLESEX,MID,MIDDLESEX,MID,699,2022 Q1
459,459,HAMPSHIRE,HPS,HAMPSHIRE,HPS,23,2022 Q1
4236,4236,HAMPDEN,HPD,HAMPDEN,HPD,465,2022 Q1
261,261,FRANKLIN,FRA,FRANKLIN,FRA,27,2022 Q1
4257,4257,ESSEX,ESS,ESSEX,ESS,480,2022 Q1
10,10,DUKES,DUK,DUKES,DUK,3,2022 Q1
3012,3012,BRISTOL,BRI,BRISTOL,BRI,327,2022 Q1
760,760,BERKSHIRE,BER,BERKSHIRE,BER,119,2022 Q1
391,391,BARNSTABLE,BAR,BARNSTABLE,BAR,55,2022 Q1
302,302,%null%,TBD,%null%,TBD,20,2022 Q1
0,0,0,0,WORCESTER,WOR,432,2022 Q2
0,0,0,0,SUFFOLK,SUF,537,2022 Q2
0,0,0,0,PLYMOUTH,PLY,253,2022 Q2
0,0,0,0,NORFOLK,NOR,404,2022 Q2
0,0,0,0,NANTUCKET,NAN,3,2022 Q2
0,0,0,0,MIDDLESEX,MID,727,2022 Q2
0,0,0,0,HAMPSHIRE,HPS,48,2022 Q2
0,0,0,0,HAMPDEN,HPD,411,2022 Q2
0,0,0,0,FRANKLIN,FRA,25,2022 Q2
0,0,0,0,ESSEX,ESS,451,2022 Q2
0,0,0,0,DUKES,DUK,2,2022 Q2
0,0,0,0,BRISTOL,BRI,397,2022 Q2
0,0,0,0,BERKSHIRE,BER,118,2022 Q2
